empty,x,y,z,angle,PTE,LXe R_i,seeding
1,90.930534,48.906666,93.55613,30.405428,0.000371,1.78,18271
1,91.36928,48.906666,93.70278,29.490425,0.00036,1.78,18271
1,91.803825,48.906666,93.84394,28.582403,0.000379,1.78,18271
1,88.721825,48.906666,90.384186,25.435274,0.000399,1.78,18271
1,89.180145,48.906666,90.336845,24.448635,0.000408,1.78,18271
1,89.63405,48.906666,90.2868,23.464277,0.000422,1.78,18271
1,90.08391,48.906666,90.23391,22.482595,0.000454,1.78,18271
1,90.53009,48.906666,90.178024,21.504131,0.00048,1.78,18271
1,90.97292,48.906666,90.11898,20.529484,0.00049,1.78,18271
1,91.41274,48.906666,90.05661,19.559425,0.000526,1.78,18271
1,89.78644,48.906666,90.222015,32.98024,0.000473,1.78,18271
1,89.83222,48.906666,90.22547,31.983099,0.000474,1.78,18271
1,92.71726,48.906666,89.84756,16.687016,0.000523,1.78,18271
1,93.14811,48.906666,89.76985,15.746961,0.000543,1.78,18271
1,93.577446,48.906666,89.68767,14.819064,0.000567,1.78,18271
1,94.00553,48.906666,89.6008,13.906114,0.000597,1.78,18271
1,92.42561,48.906666,90.124855,5.470813,8.4e-05,1.78,18271
1,93.088646,48.906666,93.31443,5.2789707,8.2e-05,1.78,18271
1,94.159485,48.906666,90.41096,46.836697,0.000328,1.78,18271
1,90.26295,48.906666,94.16157,68.158264,0.000408,1.78,18271
1,90.14403,48.906666,90.31815,60.448227,0.000696,1.78,18271
1,90.0336,48.906662,93.073524,9.985582,0.000115,1.78,18271
1,88.34529,48.906662,93.51152,42.525818,0.000108,1.78,18271



