run_id,k_si,n_si,pte_8,pte_8_error,pte_4,pte_4_error
607,0.7222222222222222,0.5185185185185185,0.00348,0.00018654758106177632,0.00247,0.0001571623364550171
608,0.7222222222222222,0.537037037037037,0.00345,0.0001857417562100671,0.00245,0.00015652475842498528
609,0.7222222222222222,0.5555555555555556,0.00341,0.00018466185312619387,0.00242,0.00015556349186104045
610,0.7222222222222222,0.5740740740740741,0.00337,0.0001835755975068582,0.00238,0.00015427248620541512
611,0.7222222222222222,0.5925925925925926,0.00332,0.00018220867158288598,0.00233,0.00015264337522473748
612,0.7222222222222222,0.6111111111111112,0.00328,0.00018110770276274834,0.0023,0.000151657508881031
613,0.7222222222222222,0.6296296296296297,0.00321,0.00017916472867168917,0.00225,0.00015
614,0.7222222222222222,0.6481481481481481,0.00317,0.00017804493814764857,0.00221,0.00014866068747318507
615,0.7222222222222222,0.6666666666666666,0.00314,0.00017720045146669348,0.00219,0.00014798648586948743
616,0.7222222222222222,0.6851851851851851,0.00312,0.00017663521732655694,0.00214,0.00014628738838327792
617,0.7222222222222222,0.7037037037037037,0.00308,0.00017549928774784245,0.00212,0.00014560219778561037
618,0.7222222222222222,0.7222222222222222,0.00307,0.00017521415467935231,0.00211,0.0001452583904633395
619,0.7222222222222222,0.7407407407407407,0.00301,0.00017349351572897473,0.00211,0.0001452583904633395
620,0.7222222222222222,0.7592592592592593,0.00299,0.00017291616465790584,0.0021,0.00014491376746189437
621,0.7222222222222222,0.7777777777777778,0.00296,0.00017204650534085252,0.00207,0.0001438749456993816
622,0.7222222222222222,0.7962962962962963,0.00294,0.00017146428199482248,0.00206,0.00014352700094407323
623,0.7222222222222222,0.8148148148148148,0.00289,0.00017,0.00202,0.00014212670403551894
624,0.7222222222222222,0.8333333333333333,0.00284,0.00016852299546352717,0.00199,0.00014106735979665884
625,0.7222222222222222,0.8518518518518519,0.00282,0.00016792855623746665,0.00195,0.0001396424004376894
626,0.7222222222222222,0.8703703703703703,0.00278,0.00016673332000533066,0.00192,0.0001385640646055102
627,0.7222222222222222,0.8888888888888888,0.0027,0.00016431676725154983,0.0019,0.00013784048752090222
628,0.7222222222222222,0.9074074074074074,0.00266,0.0001630950643030009,0.00189,0.0001374772708486752
629,0.7222222222222222,0.9259259259259259,0.00265,0.00016278820596099706,0.00188,0.00013711309200802087
630,0.7222222222222222,0.9444444444444444,0.0026,0.00016124515496597098,0.00186,0.00013638181696985855
631,0.7222222222222222,0.9629629629629629,0.00258,0.0001606237840420901,0.00184,0.00013564659966250537
632,0.7222222222222222,0.9814814814814814,0.00253,0.00015905973720586867,0.00179,0.0001337908816025965
633,0.7222222222222222,1.0,0.0025,0.00015811388300841897,0.00177,0.0001330413469565007
634,0.7222222222222222,1.0185185185185186,0.00247,0.0001571623364550171,0.00175,0.00013228756555322952
635,0.7222222222222222,1.037037037037037,0.00245,0.00015652475842498528,0.00172,0.00013114877048604
636,0.7222222222222222,1.0555555555555556,0.00241,0.00015524174696260025,0.0017,0.00013038404810405298
637,0.7222222222222222,1.074074074074074,0.00239,0.00015459624833740306,0.0017,0.00013038404810405298
638,0.7222222222222222,1.0925925925925926,0.00233,0.00015264337522473748,0.0017,0.00013038404810405298
639,0.7222222222222222,1.1111111111111112,0.00229,0.00015132745950421556,0.0017,0.00013038404810405298
640,0.7222222222222222,1.1296296296296295,0.00226,0.00015033296378372908,0.00168,0.0001296148139681572
641,0.7222222222222222,1.1481481481481481,0.00221,0.00014866068747318507,0.00165,0.0001284523257866513
642,0.7222222222222222,1.1666666666666665,0.00218,0.000147648230602334,0.00163,0.00012767145334803705
